"CD_BAIRRO";"NM_BAIRRO";"CD_REGIAO";"NM_REGIAO";"CD_UF";"NM_UF";"CD_MUN";"NM_MUN";"CD_DIST";"NM_DIST";"CD_SUBDIST";"NM_SUBDIST";"CD_NU";"NM_NU";"CD_AGLOM";"NM_AGLOM";"CD_RGINT";"NM_RGINT";"CD_RGI";"NM_RGI";"CD_CONCURB";"NM_CONCURB";"AREA_KM2";"v0001";"v0002";"v0003";"v0004";"v0005";"v0006";"v0007";"v0008";"v0009"
"1100015001";"Centro";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"0,6282427";"1213";"637";"633";"4";"2,5";"0,0146";"480";"65";"88"
"1100015002";"Liberdade";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"0,9519164";"1029";"488";"488";"0";"2,6";"0,0281";"391";"21";"76"
"1100015003";"Cidade Alta";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"0,5963224";"1288";"602";"600";"2";"2,6";"0,0040";"499";"23";"78"
"1100015005";"Princesa Isabel";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1,9519548";"2846";"1242";"1242";"0";"2,7";"0,0179";"1060";"25";"157"
"1100015006";"Redondo";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1,4534337";"2365";"990";"990";"0";"2,7";"0,0619";"873";"25";"92"
"1100015007";"Tucanos";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"0,2255128";"325";"138";"138";"0";"2,8";"0,0000";"116";"3";"19"
"1100015008";"Santa Felicidade";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"110001505";"Alta Floresta D'Oeste";"11000150500";"";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"0,7610610";"2142";"1006";"1004";"2";"2,7";"0,0077";"777";"121";"106"
"1100023001";"Setor Apoio Rodoviário";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,3856944";"477";"197";"194";"3";"2,8";"0,1637";"171";"0";"23"
"1100023002";"Apoio Social";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,4284931";"959";"417";"417";"0";"2,8";"0,0235";"341";"5";"71"
"1100023003";"Área Especial 02";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,1215491";"659";"294";"294";"0";"2,5";"0,0303";"264";"4";"26"
"1100023004";"Áreas Especiais 01";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"1,1692773";"1228";"610";"610";"0";"2,7";"0,0683";"454";"27";"129"
"1100023005";"Bela Vista";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"2,3374635";"1424";"563";"563";"0";"3,0";"0,0000";"481";"15";"67"
"1100023006";"Marechal Rondon";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,9851601";"982";"503";"502";"1";"2,8";"0,0000";"349";"90";"63"
"1100023007";"Colonial";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,2130004";"1541";"679";"679";"0";"2,6";"0,0221";"589";"5";"85"
"1100023008";"Bom Jesus";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,5486235";"1394";"632";"632";"0";"2,7";"0,0431";"511";"16";"105"
"1100023009";"São Luiz";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,2231295";"852";"358";"358";"0";"2,7";"0,0547";"311";"8";"39"
"1100023010";"Coqueiral";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,2420373";"24";"10";"10";"0";"3,0";"0,0000";"8";"0";"2"
"1100023011";"Nova União I";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,3366872";"777";"327";"327";"0";"2,9";"0,0520";"269";"7";"51"
"1100023012";"Jardim das Palmeiras";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,5423394";"2470";"1100";"1100";"0";"2,7";"0,0467";"899";"78";"123"
"1100023013";"Trevo";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,3273849";"368";"184";"184";"0";"2,5";"0,0483";"145";"6";"33"
"1100023014";"Nova Londrina";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,4938594";"103";"68";"68";"0";"2,7";"0,0000";"38";"7";"23"
"1100023015";"Monte Cristo";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,0587198";"543";"209";"209";"0";"3,0";"0,0273";"183";"5";"21"
"1100023016";"Jardim Monte Alegre";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,9297197";"768";"306";"306";"0";"2,9";"0,0263";"266";"11";"29"
"1100023017";"Industrial Jamari";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,1921863";"100";"49";"49";"0";"2,4";"0,0000";"41";"1";"7"
"1100023018";"Pedras";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,3569390";"1070";"513";"513";"0";"2,6";"0,1213";"404";"32";"77"
"1100023019";"Jardim das Flores";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,0445218";"399";"159";"159";"0";"2,9";"0,0504";"139";"4";"16"
"1100023020";"Vida Nova";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,1543198";"701";"274";"274";"0";"3,0";"0,0427";"234";"9";"31"
"1100023021";"Flores";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,2850415";"405";"160";"160";"0";"2,9";"0,2014";"139";"5";"16"
"1100023022";"Setor 10";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"4,3569436";"2986";"1164";"1164";"0";"3,0";"0,0133";"981";"48";"135"
"1100023023";"Parque das Gemas";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,9557185";"3131";"1380";"1380";"0";"2,7";"0,0346";"1155";"52";"173"
"1100023024";"Jardim Primavera";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"8,6871701";"969";"450";"450";"0";"2,8";"0,0259";"347";"17";"86"
"1100023025";"Rota do Sol";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,4765571";"2108";"874";"874";"0";"2,9";"0,0246";"731";"10";"133"
"1100023026";"Residencial Eldorado";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";"110002305";"Ariquemes";"11000230500";"";".";"";".";"";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"0,1423084";"264";"91";"91";"0";"3,2";"0,2410";"83";"2";"6"
