registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
3,Estupro Consumado,UBERLANDIA,317020,1,2019,9,NÃO
5,Estupro de Vulnerável Consumado,UBERLANDIA,317020,1,2019,9,NÃO
1,Estupro de Vulnerável Tentado,UBERLANDIA,317020,1,2019,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,1,2019,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,1,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,1,2019,9,NÃO
2,Extorsão Tentado,UBERLANDIA,317020,1,2019,9,NÃO
5,Homicídio Tentado,UBERLANDIA,317020,1,2019,9,NÃO
231,Roubo Consumado,UBERLANDIA,317020,1,2019,9,NÃO
15,Roubo Tentado,UBERLANDIA,317020,1,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,1,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,1,2019,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,2,2019,9,NÃO
3,Estupro de Vulnerável Consumado,UBERLANDIA,317020,2,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,2,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,2,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,2,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,2,2019,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,2,2019,9,NÃO
9,Homicídio Tentado,UBERLANDIA,317020,2,2019,9,NÃO
244,Roubo Consumado,UBERLANDIA,317020,2,2019,9,NÃO
12,Roubo Tentado,UBERLANDIA,317020,2,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,2,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,2,2019,9,NÃO
4,Estupro Consumado,UBERLANDIA,317020,3,2019,9,NÃO
5,Estupro de Vulnerável Consumado,UBERLANDIA,317020,3,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,3,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,3,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,3,2019,9,NÃO
1,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,3,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,3,2019,9,NÃO
3,Homicídio Tentado,UBERLANDIA,317020,3,2019,9,NÃO
285,Roubo Consumado,UBERLANDIA,317020,3,2019,9,NÃO
17,Roubo Tentado,UBERLANDIA,317020,3,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,3,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,3,2019,9,NÃO
4,Estupro Consumado,UBERLANDIA,317020,4,2019,9,NÃO
5,Estupro de Vulnerável Consumado,UBERLANDIA,317020,4,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,4,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,4,2019,9,NÃO
3,Extorsão Consumado,UBERLANDIA,317020,4,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,4,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,4,2019,9,NÃO
8,Homicídio Tentado,UBERLANDIA,317020,4,2019,9,NÃO
252,Roubo Consumado,UBERLANDIA,317020,4,2019,9,NÃO
12,Roubo Tentado,UBERLANDIA,317020,4,2019,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,4,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,4,2019,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,5,2019,9,NÃO
4,Estupro de Vulnerável Consumado,UBERLANDIA,317020,5,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,5,2019,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,5,2019,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,5,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,5,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,5,2019,9,NÃO
5,Homicídio Tentado,UBERLANDIA,317020,5,2019,9,NÃO
248,Roubo Consumado,UBERLANDIA,317020,5,2019,9,NÃO
24,Roubo Tentado,UBERLANDIA,317020,5,2019,9,NÃO
3,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,5,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,5,2019,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,6,2019,9,NÃO
8,Estupro de Vulnerável Consumado,UBERLANDIA,317020,6,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,6,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,6,2019,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,6,2019,9,NÃO
1,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,6,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,6,2019,9,NÃO
4,Homicídio Tentado,UBERLANDIA,317020,6,2019,9,NÃO
