municipio,ano,populacao_2022,crimes_violentos,homicidios,cv_por_100mil,hom_por_100mil
Uberlândia,2019,713224,3357,57,470.7,7.99
Uberlândia,2020,713224,1934,31,271.2,4.35
Uberlândia,2021,713224,1455,26,204.0,3.65
Uberlândia,2022,713224,1627,35,228.1,4.91
Uberlândia,2023,713224,1291,54,181.0,7.57
Uberlândia,2024,713224,1762,68,247.0,9.53
Uberlândia,2025,713224,1281,58,179.6,8.13
Uberaba,2019,337836,1679,23,497.0,6.81
Uberaba,2020,337836,1056,33,312.6,9.77
Uberaba,2021,337836,765,19,226.4,5.62
Uberaba,2022,337836,752,16,222.6,4.74
Uberaba,2023,337836,702,25,207.8,7.4
Uberaba,2024,337836,812,28,240.4,8.29
Uberaba,2025,337836,602,26,178.2,7.7
Contagem,2019,621863,6940,112,1116.0,18.01
Contagem,2020,621863,4783,103,769.1,16.56
Contagem,2021,621863,3079,82,495.1,13.19
Contagem,2022,621863,2928,86,470.8,13.83
Contagem,2023,621863,2387,92,383.8,14.79
Contagem,2024,621863,2324,104,373.7,16.72
Contagem,2025,621863,1741,85,280.0,13.67
Juiz de Fora,2019,540756,1254,52,231.9,9.62
Juiz de Fora,2020,540756,1006,55,186.0,10.17
Juiz de Fora,2021,540756,779,40,144.1,7.4
Juiz de Fora,2022,540756,897,69,165.9,12.76
Juiz de Fora,2023,540756,759,65,140.4,12.02
Juiz de Fora,2024,540756,432,33,79.9,6.1
Juiz de Fora,2025,540756,390,22,72.1,4.07
Belo Horizonte,2019,2315560,19709,354,851.2,15.29
Belo Horizonte,2020,2315560,13165,329,568.5,14.21
Belo Horizonte,2021,2315560,9881,290,426.7,12.52
Belo Horizonte,2022,2315560,9556,288,412.7,12.44
Belo Horizonte,2023,2315560,8949,268,386.5,11.57
Belo Horizonte,2024,2315560,8786,330,379.4,14.25
Belo Horizonte,2025,2315560,7061,275,304.9,11.88
